source,pivot_text(de),pivot_text(zh),bt_zh,bt_de
Leizu shared her discoveries with others and the knowledge became widespread in China.,Leizu gab ihre Ergebnisse heraus und die Daten waren in China bekannt.,莱祖与他人分享她的发现 知识遍布中国,Lezu shared her findings with others.,Leizu published her results and the data were known in China.
"In 1961, she made her Metropolitan Opera debut as Aida; the following year she made her debut at the Royal Opera House with the same role.","1961 debütierte sie als Aida in der Metropolitan Opera, im darauffolgenden Jahr debütierte sie im Royal Opera House mit derselben Rolle.","1961年,她以艾达为首演《大都会歌剧》,1962年,她再次在皇家歌剧院首演《艾达》。","In 1961, she started the Metropolis Opera with Aida, and again in 1962, in the Royal Opera House with Aida.","In 1961 she made her debut as Aida at the Metropolitan Opera, and in the following year she made her debut at the Royal Opera House with the same role."
He was also commissioned in 1944 by Yehudi Menuhin to write a Sonata for Solo Violin.,"1944 wurde er von Yehudi Menuhin in Auftrag gegeben, um eine Sonate für Solo Violine zu schreiben.","他受Yehudi Menuhin的委托,于1944年为Solo Violin写《索纳塔》。",He was commissioned by Yehudi Menuhin to write Sonata in 1944 for Solo Violin.,In 1944 he was commissioned by Yehudi Menuhin to write a sonata for solo violin.
"Historically mills were powered by hand (mortar and pestle), working animal, wind (windmill) or water (watermill).","Historisch wurden Mühlen von Hand (Mortar und Pestle), arbeitendem Tier, Wind (Windmühle) oder Wasser (Wassermühle) ein- und ausgeschaltet.","过去,磨坊用手(摩尔和害虫)充电,磨坊也用工作动物、风(风车)或水(水车)充电。","In the past, mills charged hands (mor and pests) and mills charged working animals, wind (windmills) or water (water tankers).","Historically, mills were turned on and off by hand (mortar and pestle), working animal, wind (windmill) or water (water mill)."
"2005 According to chapters, Jesus of Nazareth gave this sermon (estimated around AD 30) on a mountainside to his disciples and a large crowd.","Es wird gesagt, dass Jesus diese Predigt um 30 n. Chr. auf einem Berghang seinen Jüngern und anderen hielt.","根据历史,拿撒勒人耶稣在大约30公元前的一座山坡上向包括门徒在内的大批群众布道。","According to history, Jesus of Nazareth preached to a large number of people, including disciples, on a hillside about 30 BC.",It is said that Jesus preached this sermon around 30 A.D. on a mountain slope to his disciples and others.
"Election The President of the Bundesrat usually is elected on the 1 November in a given year, and serves until the 31 October in the year that follows.",Der Präsident des Bundesrates wird in der Regel am 1. November in einem bestimmten Jahr gewählt und dient bis zum 31. Oktober nächsten Jahres.,"联邦参议院议长通常在某一年的11月1日投票选举,在下一年工作到10月31日。",The President of the Federal Senate normally votes on 1 November of a given year and works the following year until 31 October.,The President of the Federal Council is usually elected on 1 November in a given year and will serve until 31 October next year.
Recovery Russia bounced back from the August 1998 financial crash with surprising speed.,Russland prallte schnell vom Finanzcrash 1998 zurück.,俄罗斯从1998年8月的金融危机中迅速反弹。,Russia rebounded rapidly from the financial crisis of August 1998.,Russia quickly bounced back from the financial crash in 1998.
"He has, however, managed to nail his own legs to a table, and knocked Neil out during a game of cricket, albeit unintentionally.","Er heftete versehentlich seine Beine an den Tisch. Er schlug Neil hart in den Kopf, während er Cricket spielte.","他设法把自己的腿钉在桌子上, 在板球比赛中不知不觉地把尼尔打晕了。","He managed to nail his legs to the table, knocked Neil unconscious in a cricket game.",He accidentally attached his legs to the table. He hit Neil hard in the head while playing cricket.
Species are native to tropical and subtropical regions of all continents in addition to the South West Pacific and Australasia.,Die Arten stammen aus tropischen und subtropischen Regionen aller Kontinente. Sie stammen auch aus Südwestpazifik und Australasien.,"各大洲的热带和亚热带区域都是物种的本地物种,此外还有西南太平洋和澳大拉西亚。","The tropical and subtropical regions of all continents are native species of species, in addition to the South-West Pacific and Australasia.",The species come from tropical and subtropical regions of all continents. They also come from Southwest Pacific and Australasia.
Ripley is a town in the Amber Valley area of Derbyshire in England.,"Ripley ist eine Stadt in Derbyshire, England.",在德比郡英格兰 有一个叫瑞普利的小镇,"In Derby County, England, there's a town called Ripley.","Ripley is a town in Derbyshire, England."
"Her mother was related to Charles Reade, a Victorian novelist.","Ihre Mutter war mit Charles Reade verwandt, er war ein viktorianischer Schriftsteller.",Charles Reade是她母亲的亲戚 他是维多利亚小说家,Charles Reade is a relative of her mother. He's a Victorian novelist.,"Her mother was related to Charles Reade, who was a Victorian writer."
"In this respect, there is a striking parallel between the Qing / Koxinga situation and the current PRC / ROC situation.",In diesem Fall gibt es eine Ähnlichkeit zwischen der Situation in Qing/Koxinga und der derzeitigen Situation in der VR China/ROC.,"在这种情况下,清/克辛加局势与目前的中华人民共和国/科摩罗区域办事处局势有相似之处。","In this context, there are similarities between the situation in Chin/ksinga and the situation in the current regional office in the People's Republic of China/Comoros.","In this case, there is a similarity between the situation in Qing/Koxinga and the current situation in the PRC/ROC."
"Geography Unna is situated on the route of an ancient salt-trading route, the Hellweg road.","Unna ist auf der alten Salz-Trading-Route, Hellweg Straße",Unna在盐贸易路线上 Hellweg路,"Unna's on the salt trade route, Hellweg Road.","Unna is on the old salt trading route, Hellweg street"
"Games released by Sunflowers include the Anno series (Anno 1602, Anno 1503, and Anno 1701), Black Sea Studios' Knights of Honor and SEK's ParaWorld.","Zu den Spielen der Sunflowers gehören die Anno-Serie (Anno 1602, Anno 1503 und Anno 1701), die Knights of Honor der Black Sea Studios und die ParaWorld der SEK.",向日葵发行了Anno系列节目、黑海工作室荣誉骑士和瑞典能源公司的ParaWorld。,"Anno series of programmes, Honorary Knight of the Black Sea Studio and ParaWorld of the Swedish Energy Corporation were distributed to Sunflower.","The games of the Sunflowers include the Anno series (Anno 1602, Anno 1503 and Anno 1701), the Knights of Honor of the Black Sea Studios and the ParaWorld of the SEK."
"Consequently, he purposely filmed scenes with actors on the extreme edge of both sides so that they could only be shown in widescreen.","Er filmte absichtlich Szenen mit Schauspielern am Rand, so dass sie nur im Breitbildformat gezeigt werden konnten.","他故意拍摄场景供大屏幕使用,不会以其他格式看到。",He intentionally filmed the scene for use on large screens and would not be seen in other formats.,"He deliberately filmed scenes with actors at the edge, so that they could only be shown in widescreen format."
"Hence, this system is not an official tropical or subtropical cyclone of the 2006 Pacific hurricane season.",Daher ist dieser Sturm kein tropischer oder subtropischer Zyklon der Hurrikansaison 2006 im Pazifik.,该系统不是2006年太平洋飓风季节的正式旋风。,The system is not a formal cyclone for the 2006 Pacific hurricane season.,"Therefore, this storm is not a tropical or subtropical cyclone of the 2006 hurricane season in the Pacific."
"1979 to 1999 The Jubilee line of 1979 was to be the first of four phases of the project, but lack of funds meant that no further progress was made until the late 1990s.","Die Jubilee-Linie von 1979 sollte die erste von vier Phasen des Projekts sein. Mangelnde Mittel bedeuteten, dass bis Ende der 1990er Jahre keine weiteren Fortschritte erzielt wurden.","1979年的千禧年线将是该项目四个阶段的第一个阶段,然而,资金的缺乏意味着直到1990年代后期才取得任何进展。","The Millennium Line of 1979 would be the first phase of the four phases of the project; however, lack of funding meant that no progress had been made until the late 1990s.",The 1979 Jubilee line was to be the first of four phases of the project. Lack of funds meant that no further progress was made by the end of the 1990s.
"Scarborough railway station serves the seaside town of Scarborough in North Yorkshire, England.",Der Bahnhof Scarborough dient der Stadt Scarborough in England.,斯卡拉堡火车站为西边的斯卡拉堡镇服务 位于英格兰北约克郡,"The Skala Fort Station serves the western town of Skara Fort in North Atlantic Kerr County, England.","Scarborough is a railway station in Scarborough, England."
"Within a decade of its inception, A & M became the world's largest independent record company.",Innerhalb von 10 Jahren nach seiner Gründung wurde A&M die größte unabhängige Plattenfirma der Welt.,"A & M公司在创立10年之内,成为世界上最大的独立唱片公司。","In 10 years of its existence, A & M became the world's largest independent record company.","Within 10 years of its founding, A&M became the world's largest independent record company."
"The two wavy lines above and below depict the two rivers which gave the district its name, the Ruhr and the Ennepe.","Die beiden welligen Linien oben und unten zeigen die beiden Flüsse, die dem Bezirk seinen Namen gaben. Sie sind das Ruhrgebiet und die Ennepe.","上面和下面的两条波浪线描述了显示该区名称的两条河流,即Ruhr河和Ennepe河。","The two waves above and below describe the two rivers that show the name of the area, namely the Ruhr and Ennepe rivers.",The two wavy lines above and below show the two rivers that gave the district its name. They are the Ruhr area and the Ennepe.
"Author, Peter Preuss, stated that the possum's population faltered in 1997 with current habitat (limited to a 50 - square-kilometre area) under threat from logging.","Der Autor Peter Preuss sagte, die Bevölkerung des Possums sei 1997 zurückgegangen. Sein derzeitiger 50 - Quadratkilometer - Lebensraum sei vom Holzeinschlag bedroht.","作者Peter Preuss指出,1997年负鼠人口减少,目前的生境(限于50平方公里)受到伐木的威胁。","According to the author, Peter Preuss, the possum population decreased in 1997 and the current habitat (limited to 50 square kilometres) is threatened by logging.",Author Peter Preuss said that the population of Possum had fallen in 1997 and that its current 50 square kilometers of habitat was threatened by logging.
"Unexpectedly, the German Wehrmacht officers tended to him and sent him to a hospital.",Unerwartet kümmerten sich die deutschen Wehrmachtsoffiziere um ihn und schickten ihn in ein Krankenhaus.,"德国的Wehrmacht军官照顾他,送他去医院。",German officer Wehrmacht took care of him and took him to the hospital.,"Unexpectedly, the German Wehrmacht officers took care of him and sent him to a hospital."
"The monastery was entirely rebuilt by lord Smbat of the House of Orbelian, a branch of the Liparitids who were expelled to Armenia in the late 12th century from Georgia.",Das Haus des Orbelians Lord Smbat baute das Kloster wieder auf. Sein Zweig der Lipartiden wurde im 12. Jahrhundert aus Armenien vertrieben.,"该修道院由Lipariti的一个分支Orberian之家的Smbat勋爵完全重建,他在12世纪末被从格鲁吉亚驱逐到亚美尼亚。","The monastery was completely rebuilt by Lord Sbat of the Orberian House, a branch of Lipariti, who was deported from Georgia to Armenia at the end of the twelfth century.",The House of Orbelians Lord Smbat rebuilt the monastery. Its branch of the Lipartids was expelled from Armenia in the 12th century.
A new frontal ridge had formed on August 17 which caused the storm to drift in a westerly direction.,"August bildete sich ein neues frontales Gebiet, das den Sturm nach Westen bewegte.",形成一个新的前脊 导致暴风雨向西移动,"A new ridge was formed, causing the storm to move westward.","On August 20, a new frontal area was formed that moved the storm westward."
"In 1847 parts of Caldwell County, Iredell County, and Wilkes County were combined to form Alexander County.",Das Alexander County wurde 1847 aus Teilen von 3 verschiedenen Countys gebildet.,"1847年,Caldwell县、Iredell县和Wilkes县部分地区合并组成Alexander县。","In 1847, parts of Caldwell, Iredell and Wilkes Counties merged into Alexander County.",Alexander County was formed in 1847 from parts of 3 different counties.
Much of the ministry of Jesus occurred on the shores of Lake Galilee.,Ein Großteil des Dienstes Jesu hat am Ufer des Galiläischen Sees stattgefunden.,耶稣的教学大多发生在加利利湖。,Most of Jesus's teaching takes place in Lake Galilee.,Much of Jesus'ministry has taken place on the shores of the Sea of Galilee.
"About 2,000 to 3,000 cocoons are required to make a pound of silk.","2 000 bis 3 000 Kokone werden benötigt, um ein Pfund Seide zu machen.",一磅的丝绸 需要2000到3000公仔做。,"A pound of silk takes 2,000 to 3,000 people to do it.",2 000 to 3 000 cocoons are needed to make one pound of silk.
"International English Language Testing System, is an international standardised test of English language proficiency.",Das International English Language Testing System ist ein international standardisierter Test für Englischkenntnisse.,国际英语测试系统是国际标准化的英语技能测试。,The International English Language Test System is an internationally standardized English language skill test.,The International English Language Testing System is an internationally standardized test for English skills.
"According to a letter sent to his church, he and his doctors believed that the cancer was fully treatable.","In einem Brief an seine Kirche glaubten er und seine Ärzte, der Krebs sei behandelbar.",根据写给教堂的信 他和他的医生 虽然癌症是可以治疗的,"According to a letter to the church, he and his doctor, though cancer can be treated.","In a letter to his church, he and his doctors believed that cancer was treatable."
It is adjacent to Lord Wandsworth College.,Es ist neben dem Lord Wandsworth College.,离Wandsworth勋爵学院很近,It's close to Lord Wandsworth.,It's next to Lord Wandsworth College.
"It was to serve as an international auxiliary language, that is, as a universal second language, not to replace ethnic languages.","Es sollte als universelle Zweitsprache dienen, nicht um ethnische Sprachen zu ersetzen.","它作为工作语言中到处使用的一种语言,而不是取代民族语言。",It is a language widely used in working languages and not a substitute for national languages.,"It should serve as a universal second language, not to replace ethnic languages."
He most recently worked with Slipknot on their new fourth studio album titled All Hope Is Gone.,Vor kurzem arbeitete er mit Slipknot an ihrem neuen vierten Studioalbum All Hope Is Gone.,他最近和Slippknot在他们的第四张专辑上合作,He recently worked with Slippknot on their fourth album.,Recently he worked with Slipknot on their new fourth studio album All Hope Is Gone.
"Mostly found in Andhra Pradesh also in Orissa, Tamil Nadu and Karnataka.","Es ist vor allem in Andhra Pradesh gefunden. Es ist auch in Orissa, Tamil Nadu und Karnataka.","它主要在安得拉邦,也在奥里萨邦、泰米尔纳德邦和卡纳塔克邦。","It is mainly located in Andhra Pradesh and also in Orissa, Tamil Nadu and Karnataka.","It is mainly found in Andhra Pradesh. It is also found in Orissa, Tamil Nadu and Karnataka."
Many other authors of this period described eastern Mediterranean cooking in Greek and in Latin.,Viele Autoren dieser Zeit schrieben über die mediterrane Küche in Griechisch und Latein.,这一时期许多其他作者用希腊文和拉丁文描述了东地中海的烹饪。,Many other authors during this period described the cooking of the eastern Mediterranean in Greek and Latin.,Many authors of this period wrote about Mediterranean cuisine in Greek and Latin.
The town was built on the mouth of a small tributary; the High Street once met the water at the top of the river.,Die Stadt wurde an der Mündung eines kleinen Nebenflusses gebaut. Die High Street traf einst auf die Spitze des Flusses.,该镇是在水路开始时建造的;高街曾经在河顶遇到过水。,The town was built at the beginning of the waterway; the high street once encountered water on the top of the river.,The town was built at the mouth of a small tributary. High Street once hit the top of the river.
"History U. S. President Woodrow Wilson first proclaimed an Armistice Day for November 12, 1919.",US-Präsident Woodrow Wilson proklamierte einen Waffenstillstandstag für den 12. November 1919.,第一个停战日是2019年11月12日 首次由美国总统伍德罗·威尔逊宣布,"The first day of truce was on November 12th, 2019, first proclaimed by the President of the United States, Woodrow Wilson.","US President Woodrow Wilson proclaimed a ceasefire day for November 12, 1919."
Seventh Son (1987) is an alternate history / fantasy novel by Orson Scott Card.,Seventh Son ist ein Roman von Orsen Card.,Orson Scott Card在1987年写了小说 幻想书《七子》,Orson Scott Card wrote novels in 1987.,Seventh Son is a novel by Orsen Card.
"Hillary Diane Rodham Clinton (, born October 26, 1947) is the 67th United States Secretary of State, serving within the administration of President Barack Obama.",Oktober 1947 in New York City) ist eine US-amerikanische Außenministerin. Hillary Diane Rodham Clinton ist Mitglied der Regierung von Präsident Barack Obama.,"希拉里·克林顿是第67任国务卿,她曾在奥巴马总统的政府中任职。","Hillary Clinton, the 67th Secretary of State, served in the Government of President Obama.",Hillary Diane Rodham Clinton is a member of President Barack Obama's government.
"However, the document is Cherubino's appointment to the army.",Das Dokument ist Cherubinos Ernennung zur Armee.,"然而,这份报纸是Cherubino在军队的任命。","However, the newspaper was appointed by Cherubino in the army.",The document is Cherubino's appointment as army.
"With an area of 11,980 km ² and 1.3 million inhabitants, Upper Austria is the fourth-largest Austrian state by land area and third-largest by population.",Oberösterreich ist der viertgrößte österreichische Staat nach Landfläche und der drittgrößte nach Bevölkerung.,"上奥地利州按土地面积划分是奥地利第四大州,按人口划分是第三大奥地利州",Upper Austria is the fourth largest by land area and the third largest by population.,Upper Austria is the fourth largest Austrian state by land area and the third largest by population.
"These books follow the fortunes of Tamara and William Swift, who first appeared in the BBC computer animated web movie Ghosts of Albion: Legacy.",Diese Bücher folgen Tamara und William Swift. Die Charaktere erschienen erstmals im BBC Computer animierten Webfilm Ghosts of Albion: Legacy.,"书中记载了塔马拉、威廉斯威夫特、塔马拉和威廉斯威夫特的财富,","The book documents the wealth of Tamara, William Swift, Tamara and William Swift.",These books follow Tamara and William Swift. The characters appeared for the first time in the BBC computer animated web film Ghosts of Albion: Legacy.
How much less depends on the type of RAID.,Der Betrag hängt von der Art des RAIDs ab.,减少的金额取决于《难民援助国际联盟》的类型。,The reduction depends on the type of International Coalition for Refugee Assistance.,The amount depends on the type of RAID.
They currently play in the Eastern Division of the National Conference.,Sie spielen in der Eastern Division der National Conference.,目前他们在全国会议东部分部活动。,They are currently operating in the Eastern Division of the National Conference.,They play in the Eastern Division of the National Conference.
"The name is thought to be derived from Greta River in Cumberland, England.","Der Name stammt vermutlich vom Greta River in Cumberland, England.",名字可能来自英国坎伯兰的格雷塔河,"The name may come from the Greta River in Cumberland, England.","The name probably comes from the Greta River in Cumberland, England."
His decision to cut the bridges on the Han River prevented thousands of citizens from escaping Communist rule.,"Seine Entscheidung, Brücken über den Han-Fluss zu sprengen, verhinderte, dass Tausende von Bürgern der kommunistischen Herrschaft entfliehen konnten.",因为他切断了汉河的桥梁 成千上万的人逃不过共产主义统治,"Because he cut the bridge on the Han River, and thousands of people couldn't escape communist rule.",His decision to break bridges over the Han River prevented thousands of citizens from fleeing communist rule.
"Economy and infrastructure The community is home to more than 600 businesses with well over 2,000 jobs.",Die Gemeinde beherbergt mehr als 600 Unternehmen. Sie hat auch weit über 2.000 Arbeitsplätze.,"该镇有600家企业,有2 000多个工作岗位。","The town has 600 enterprises and more than 2,000 jobs.","The municipality houses more than 600 companies. It also has well over 2,000 jobs."
"Elin arrives at Agnes's house, mainly as an excuse to avoid going to a different party, where there will be a boy (Johan) (Mathias Rust) she wants to avoid.","Elin kommt zu Agnes' Haus, um eine Party zu vermeiden, wo Johan ist.",伊琳来到艾格尼丝家 她用它作为借口 她想避开一个男孩,"Elin came to Agnes' house, and she used it as an excuse, and she tried to avoid a boy.",Elin comes to Agnes' house to avoid a party where Johan is.
"Serpent is a symmetric key block cipher which was a finalist in the Advanced Encryption Standard (AES) contest, where it came second to Rijndael.",Serpent ist eine symmetrische Schlüsselblock-Chiffre. Es war ein Finalist im Advanced Encryption Standard (AES) Wettbewerb. Es kam an zweiter Stelle zu Rijndael.,"蛇纹是一个对称键块密钥密码, 在高级加密标准(AES)竞赛中是决赛的决赛者。 它排在Rijndael的第二位。","The snake tattoo is a symmetrical key password, a finalist in the advanced encryption standard (AES) competition, which ranks second in Rijndael.",Serpent is a symmetrical keyblock chiffre. It was a finalist in the Advanced Encryption Standard (AES) competition. It came second to Rijndael.
"After 1627, King Louis XIII of France introduced the seigneurial system and forbade settlement in New France by anyone other than Roman Catholics.","König Ludwig XIII. von Frankreich führte das Seigneurialsystem nach 1627 ein. Dann weigerte er sich, jedem außer den Katholiken zu erlauben, sich in Neufrankreich niederzulassen.","1627年之后,法国国王路易十三世开始使用宗教系统,禁止除罗马天主教徒以外的任何人在新法国定居。","After 1627, King Louis XIII of France began to use the religious system to prohibit any person other than Roman Catholics from settling in the new France.",King Louis XIII of France introduced the seigneurial system after 1627. Then he refused to allow anyone but the Catholics to settle in New France.
"Assuming good faith does not prohibit discussion and criticism, but instead editors should not attribute the actions being criticized to malice unless there is specific evidence of malice.","Angenommen, guter Glaube bedeutet, dass Redakteure nicht Kritik auf schlechte Absichten zuschreiben sollten, es sei denn, es gibt spezifische Beweise für schlechte Absichten.","如果我们相信诚信不会阻止讨论和批评, 那么编辑不应该说,如果没有恶意的证据, 行动就是恶意的。","If we believe that good faith does not prevent discussion and criticism, then the editor should not say that without malicious evidence, action is malicious.",Suppose good faith means that editors should not attribute criticism to bad intentions unless there is specific evidence of bad intentions.
"The album debuted at number 64 in the US, and number nine in Sweden, higher than any previous Opeth release.","Es war höher als jedes andere Opeth-Album, es debütierte mit 64 in den USA und 9 in Schweden.","这张专辑在美国第64号首发,在瑞典是第9号,高于以前任何一次的Opeth发行量。","This album was first issued in the United States, No. 64, and in Sweden, No. 9, higher than any previous issue of Opeth.","It was higher than any other Opeth album, it debuted at 64 in the USA and 9 in Sweden."
"In Shinto, Takama-ga-hara is the dwelling place of the Kami.",akama-ga-hara ist der lebende Ort der Kami in Shinto.,"在信藤,高间同原是卡米住的地方","In Shinto, Takahara lives with Cammy.",Akama-ga-hara is the living place of the Kami in Shinto.
